时间,轴心轨迹
2020-12-10 01:37:14,0.34
2020-12-10 01:37:24,0.36
2020-12-10 01:37:34,0.34
2020-12-10 01:37:44,0.34
2020-12-10 01:37:54,0.33
2020-12-10 01:38:04,0.33
2020-12-10 01:38:14,0.35
2020-12-10 01:38:24,0.35
2020-12-10 01:38:34,0.34
2020-12-10 01:38:44,0.32
2020-12-10 01:38:54,0.34
2020-12-10 01:39:04,0.35
2020-12-10 01:39:14,0.33
2020-12-10 01:39:24,0.34
2020-12-10 01:39:34,0.33
2020-12-10 01:39:44,0.34
2020-12-10 01:39:54,0.34
2020-12-10 01:40:04,0.36
2020-12-10 01:40:14,0.35
2020-12-10 01:40:24,0.37
2020-12-10 01:40:34,0.36
2020-12-10 01:40:44,0.33
2020-12-10 01:40:54,0.35
2020-12-10 01:41:04,0.34
2020-12-10 01:41:14,0.35
2020-12-10 01:41:24,0.35
2020-12-10 01:41:34,0.39
2020-12-10 01:41:44,0.32
2020-12-10 01:41:54,0.34
2020-12-10 01:42:04,0.34
2020-12-10 01:42:14,0.31
2020-12-10 01:42:24,0.33
2020-12-10 01:42:34,0.31
2020-12-10 01:42:44,0.32
2020-12-10 01:42:54,0.29
2020-12-10 01:43:04,0.32
2020-12-10 01:43:14,0.29
2020-12-10 01:43:24,0.3
2020-12-10 01:43:34,0.29
2020-12-10 01:43:44,0.29
2020-12-10 01:43:54,0.29
2020-12-10 01:44:04,0.3
2020-12-10 01:44:14,0.3
2020-12-10 01:44:24,0.3
2020-12-10 01:44:34,0.33
2020-12-10 01:44:44,0.28
2020-12-10 01:44:54,0.31
2020-12-10 01:45:04,0.3
2020-12-10 01:45:14,0.28
2020-12-10 01:45:24,0.29
2020-12-10 01:45:34,0.3
2020-12-10 01:45:44,0.3
2020-12-10 01:45:54,0.29
2020-12-10 01:46:04,0.3
2020-12-10 01:46:14,0.31
2020-12-10 01:46:24,0.3
2020-12-10 01:46:34,0.3
2020-12-10 01:46:44,0.3
2020-12-10 01:46:54,0.31
2020-12-10 01:47:04,0.3
2020-12-10 01:47:14,0.29
2020-12-10 01:47:24,0.29
2020-12-10 01:47:34,0.3
2020-12-10 01:47:44,0.3
2020-12-10 01:47:54,0.3
2020-12-10 01:48:04,0.29
2020-12-10 01:48:14,0.31
2020-12-10 01:48:24,0.28
2020-12-10 01:48:34,0.29
2020-12-10 01:48:44,0.3
2020-12-10 01:48:54,0.28
2020-12-10 01:49:04,0.28
2020-12-10 01:49:14,0.3
2020-12-10 01:49:24,0.29
2020-12-10 01:49:34,0.28
2020-12-10 01:49:44,0.28
2020-12-10 01:49:54,0.31
2020-12-10 01:50:04,0.3
2020-12-10 01:50:14,0.3
2020-12-10 01:50:24,0.29
2020-12-10 01:50:34,0.31
2020-12-10 01:50:44,0.31
2020-12-10 01:50:54,0.3
2020-12-10 01:51:04,0.3
2020-12-10 01:51:14,0.32
2020-12-10 01:51:24,0.3
2020-12-10 01:51:34,0.31
2020-12-10 01:51:44,0.31
2020-12-10 01:51:54,0.3
2020-12-10 01:52:04,0.29
2020-12-10 01:52:14,0.3
2020-12-10 01:52:24,0.3
2020-12-10 01:52:34,0.31
2020-12-10 01:52:44,0.31
2020-12-10 01:52:54,0.32
2020-12-10 01:53:04,0.35
2020-12-10 01:53:14,0.35
2020-12-10 01:53:24,0.33
2020-12-10 01:53:34,0.34
2020-12-10 01:53:44,0.36
2020-12-10 01:53:54,0.34
2020-12-10 01:54:04,0.36
2020-12-10 01:54:14,0.35
2020-12-10 01:54:24,0.35
2020-12-10 01:54:34,0.35
2020-12-10 01:54:44,0.35
2020-12-10 01:54:54,0.34
2020-12-10 01:55:04,0.35
2020-12-10 01:55:14,0.35
2020-12-10 01:55:24,0.33
2020-12-10 01:55:34,0.34
2020-12-10 01:55:44,0.34
2020-12-10 01:55:54,0.35
2020-12-10 01:56:04,0.31
2020-12-10 01:56:14,0.3
2020-12-10 01:56:24,0.31
2020-12-10 01:56:34,0.33
2020-12-10 01:56:44,0.31
2020-12-10 01:56:54,0.31
2020-12-10 01:57:04,0.31
2020-12-10 01:57:14,0.32
2020-12-10 01:57:24,0.31
2020-12-10 01:57:34,0.32
2020-12-10 01:57:44,0.35
2020-12-10 01:57:54,0.35
2020-12-10 01:58:04,0.31
2020-12-10 01:58:14,0.32
2020-12-10 01:58:24,0.31
2020-12-10 01:58:34,0.33
2020-12-10 01:58:44,0.3
2020-12-10 01:58:54,0.35
2020-12-10 01:59:04,0.31
2020-12-10 01:59:14,0.3
2020-12-10 01:59:24,0.31
2020-12-10 01:59:34,0.29
2020-12-10 01:59:44,0.31
2020-12-10 01:59:54,0.3
2020-12-10 02:00:04,0.3
2020-12-10 02:00:14,0.32
2020-12-10 02:00:24,0.31
2020-12-10 02:00:34,0.29
2020-12-10 02:00:44,0.29
2020-12-10 02:00:54,0.3
2020-12-10 02:01:04,0.3
2020-12-10 02:01:14,0.29
2020-12-10 02:01:24,0.29
2020-12-10 02:01:34,0.3
2020-12-10 02:01:44,0.29
2020-12-10 02:01:54,0.3
2020-12-10 02:02:04,0.29
2020-12-10 02:02:14,0.32
2020-12-10 02:02:24,0.3
2020-12-10 02:02:34,0.29
2020-12-10 02:02:44,0.29
2020-12-10 02:02:54,0.29
2020-12-10 02:03:04,0.29
2020-12-10 02:03:14,0.32
2020-12-10 02:03:24,0.32
2020-12-10 02:03:34,0.31
2020-12-10 02:03:44,0.3
2020-12-10 02:03:54,0.3
2020-12-10 02:04:04,0.29
2020-12-10 02:04:14,0.3
2020-12-10 02:04:24,0.29
2020-12-10 02:04:34,0.29
2020-12-10 02:04:44,0.29
2020-12-10 02:04:54,0.28
2020-12-10 02:05:04,0.29
2020-12-10 02:05:14,0.29
2020-12-10 02:05:24,0.3
2020-12-10 02:05:34,0.28
